,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
1,RandomForest,Indiv: Raw Accel,0.7403,0.6999,0.7403,0.7162,"{'n_estimators': 123, 'max_depth': 17, 'min_samples_split': 4}","['x_g', 'y_g', 'z_g']",45
28,KNN,Seq: Raw Accel + ODBA,0.7403,0.7237,0.7403,0.716,"{'n_neighbors': 18, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g', 'odba']",45
20,XGBoost,Seq: Raw Accel,0.7388,0.6859,0.7388,0.7091,"{'n_estimators': 164, 'max_depth': 4, 'learning_rate': 0.029641614172768303, 'subsample': 0.5463673934441367, 'colsample_bytree': 0.8307780567835327}","['x_g', 'y_g', 'z_g']",45
23,KNN,Seq: Raw Accel,0.7366,0.7009,0.7366,0.7091,"{'n_neighbors': 19, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",45
32,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA,0.7366,0.6834,0.7366,0.7078,"{'C': 96.56773091677417, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",45
3,KNN,Indiv: Raw Accel,0.7314,0.6943,0.7314,0.7063,"{'n_neighbors': 14, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",45
27,SVM (RBF),Seq: Raw Accel + ODBA,0.7322,0.678,0.7322,0.7027,"{'C': 20.66105538753487, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g', 'odba']",45
22,SVM (RBF),Seq: Raw Accel,0.7277,0.6763,0.7277,0.6945,"{'C': 97.76402287184571, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",45
2,SVM (RBF),Indiv: Raw Accel,0.7226,0.6701,0.7226,0.6903,"{'C': 64.23409210219033, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",45
39,LogisticReg,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.6895,0.6756,0.6895,0.6704,{'C': 10.5770472644275},"['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",45
34,LogisticReg,Seq: Raw Accel + ODBA + VeDBA,0.6902,0.6369,0.6902,0.6543,{'C': 9.004111091894126},"['x_g', 'y_g', 'z_g', 'odba', 'vedba']",45
24,LogisticReg,Seq: Raw Accel,0.6887,0.6349,0.6887,0.6522,{'C': 3.13555742318558},"['x_g', 'y_g', 'z_g']",45
29,LogisticReg,Seq: Raw Accel + ODBA,0.6865,0.6321,0.6865,0.6495,{'C': 1.2798972440417913},"['x_g', 'y_g', 'z_g', 'odba']",45
4,LogisticReg,Indiv: Raw Accel,0.6858,0.6315,0.6858,0.6493,{'C': 1.8042125521381558},"['x_g', 'y_g', 'z_g']",45
15,XGBoost,Indiv: Magnitude,0.4982,0.509,0.4982,0.4734,"{'n_estimators': 247, 'max_depth': 4, 'learning_rate': 0.049307022773835286, 'subsample': 0.5457866457713967, 'colsample_bytree': 0.9850117954702879}",['mag'],45
18,KNN,Indiv: Magnitude,0.4879,0.4884,0.4879,0.4683,"{'n_neighbors': 16, 'weights': 'uniform', 'p': 1}",['mag'],45
16,RandomForest,Indiv: Magnitude,0.454,0.4469,0.454,0.4453,"{'n_estimators': 249, 'max_depth': 17, 'min_samples_split': 10}",['mag'],45
17,SVM (RBF),Indiv: Magnitude,0.4908,0.423,0.4908,0.4155,"{'C': 78.08516475244532, 'gamma': 'scale'}",['mag'],45
19,LogisticReg,Indiv: Magnitude,0.4621,0.4123,0.4621,0.4061,{'C': 1.8558499753667892},['mag'],45
5,XGBoost,Indiv: ODBA,0.3929,0.35,0.3929,0.351,"{'n_estimators': 112, 'max_depth': 4, 'learning_rate': 0.09901333139782273, 'subsample': 0.8718371227560613, 'colsample_bytree': 0.9139821526655152}",['odba'],45
11,RandomForest,Indiv: VeDBA,0.3701,0.3419,0.3701,0.3502,"{'n_estimators': 259, 'max_depth': 21, 'min_samples_split': 9}",['vedba'],45
10,XGBoost,Indiv: VeDBA,0.3834,0.3356,0.3834,0.3445,"{'n_estimators': 116, 'max_depth': 10, 'learning_rate': 0.014679278907514715, 'subsample': 0.7668859525326785, 'colsample_bytree': 0.5444874220446267}",['vedba'],45
13,KNN,Indiv: VeDBA,0.3672,0.3281,0.3672,0.342,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",['vedba'],45
6,RandomForest,Indiv: ODBA,0.3826,0.3328,0.3826,0.3406,"{'n_estimators': 257, 'max_depth': 12, 'min_samples_split': 8}",['odba'],45
14,LogisticReg,Indiv: VeDBA,0.4128,0.305,0.4128,0.3311,{'C': 2.23887708681019},['vedba'],45
9,LogisticReg,Indiv: ODBA,0.4121,0.3041,0.4121,0.3306,{'C': 40.23440745849123},['odba'],45
8,KNN,Indiv: ODBA,0.3569,0.3156,0.3569,0.3273,"{'n_neighbors': 14, 'weights': 'uniform', 'p': 2}",['odba'],45
7,SVM (RBF),Indiv: ODBA,0.4106,0.3103,0.4106,0.3111,"{'C': 4.295869926963629, 'gamma': 'auto'}",['odba'],45
12,SVM (RBF),Indiv: VeDBA,0.4113,0.313,0.4113,0.3111,"{'C': 90.24585797089748, 'gamma': 'auto'}",['vedba'],45
35,XGBoost,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7738,0.7676,0.7738,0.7656,"{'n_estimators': 97, 'max_depth': 8, 'learning_rate': 0.09062034225126861, 'subsample': 0.9992098709269354, 'colsample_bytree': 0.8403838107566317}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",60
36,RandomForest,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7698,0.7594,0.7698,0.7592,"{'n_estimators': 191, 'max_depth': 24, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",60
38,KNN,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7522,0.7358,0.7522,0.7378,"{'n_neighbors': 15, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",60
37,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7463,0.7337,0.7463,0.732,"{'C': 37.23425201372947, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",60
26,RandomForest,Seq: Raw Accel + ODBA,0.7453,0.741,0.7453,0.7236,"{'n_estimators': 263, 'max_depth': 19, 'min_samples_split': 7}","['x_g', 'y_g', 'z_g', 'odba']",60
31,RandomForest,Seq: Raw Accel + ODBA + VeDBA,0.7395,0.7312,0.7395,0.7166,"{'n_estimators': 271, 'max_depth': 15, 'min_samples_split': 5}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",60
25,XGBoost,Seq: Raw Accel + ODBA,0.7297,0.7113,0.7297,0.7153,"{'n_estimators': 288, 'max_depth': 7, 'learning_rate': 0.06659179432227419, 'subsample': 0.500440552621098, 'colsample_bytree': 0.8142160366197096}","['x_g', 'y_g', 'z_g', 'odba']",60
1,RandomForest,Indiv: Raw Accel,0.7356,0.7074,0.7356,0.7129,"{'n_estimators': 277, 'max_depth': 29, 'min_samples_split': 4}","['x_g', 'y_g', 'z_g']",60
21,RandomForest,Seq: Raw Accel,0.7346,0.7046,0.7346,0.7121,"{'n_estimators': 106, 'max_depth': 28, 'min_samples_split': 4}","['x_g', 'y_g', 'z_g']",60
23,KNN,Seq: Raw Accel,0.7297,0.7261,0.7297,0.7063,"{'n_neighbors': 15, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g']",60
30,XGBoost,Seq: Raw Accel + ODBA + VeDBA,0.7267,0.6905,0.7267,0.7048,"{'n_estimators': 233, 'max_depth': 8, 'learning_rate': 0.030429081294297458, 'subsample': 0.6292941384234636, 'colsample_bytree': 0.9351586629632515}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",60
3,KNN,Indiv: Raw Accel,0.7267,0.7133,0.7267,0.7043,"{'n_neighbors': 12, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",60
33,KNN,Seq: Raw Accel + ODBA + VeDBA,0.7238,0.694,0.7238,0.7016,"{'n_neighbors': 10, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",60
27,SVM (RBF),Seq: Raw Accel + ODBA,0.7297,0.6794,0.7297,0.7013,"{'C': 19.733995981743696, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba']",60
32,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA,0.7228,0.6754,0.7228,0.6961,"{'C': 24.28716995239114, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",60
